GPC;AttributeName;AttributeID;Description;Options;Required
10001707;Cuenta con pantalla;CL-A99900393;Indica si tu producto cuenta con pantalla;Si|No;false
10005726;Tipo de entrada;CA-10000013;Seleccione de la lista;Coaxial|AV|VGA|HDMI|SD|AUX|AV1|DC|Mic|USB|RCA;true
10005726;Tipo de salida;CA-10000009;Seleccione de la lista;RCA|Audio|VGA|Audio BTL|Video|Mic|Otra;true
10005726;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001467;Aislador de sonido;A2689461;Indica si tu producto aislador de sonido;Si|No;false
10001467;Cuenta con bluetooth;A2351517;Indica si tu producto cuenta con bluetooth;Si|No;true
10001467;Cuenta con micrófono;A2689457;Indica si tu producto cuenta con micrófono;Si|No;false
10001467;Inalámbrico;CL-A88800111;¿El producto es Inalámbrico?;Si|No;true
10001467;Tipo de audífono;CA-10000002;Seleccione de la lista;On-ear detrás del cuello|In-ear detrás del cuello|Over-ear|In-ear|Over-ear cerrado|Over-ear abierto|On-ear de clip|Over-ear semiabierto|On-ear|In-ear de clip;true
10001467;Conectividad;A2351545;Seleccionar de la lista;HDMI|Apple CarPlay|Cableado digital|3G|Infrarrojo|Bluetooth|WIFI|Android auto|UHF digital|Analógico UHF|USB|Cualquier dispositivo|Cableado|4G LTE|4G;false
10001478;Impermeable;CA-10000008;¿El producto es Impermeable?;Si|No;false
10005744;Calidad de impresión;CA-10000015;Seleccione de la lista;Alta resolución|Media resolución|Baja resolución;false
10005744;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001477;Cuenta con posición fija;CA-10000007;Indica si tu producto cuenta con posición fija;Si|No;true
10001477;Cuenta con extensión;CA-10000166;Indica si tu producto cuenta con extensión;Si|No;false
10001477;Sistema de fijación;CL-A99900498;Seleccione de la lista;Anclaje al techo|Pernos|Anclaje a la mesa|Ojales|Colgante|Adhesivos|Succión|Empotrado|Presillas|Sobreponer|Cinturón|Argollas|Enroscado|Tornillos|Clavos|Tornillos con tarugos|Anclaje al muro|Presión|Ojetillos;true
10001477;Requiere armado;A1539275;Tu producto, requiere armado?;Si|No;false
10001475;Tipo de convertidor cassette;CA-10000006;Seleccione de la lista;8mm a VHS|VHS-C a VHS;false
10001475;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005204;Cuenta con puertos USB;A2734569;Indica si tu producto cuenta con puertos usb;Si|No;false
10005204;Cuenta con control de volumen;CL-A88800077;Indica si tu producto cuenta con control de volumen;Si|No;false
10005204;Cuenta con amplificador;CA-10000010;Indica si tu producto cuenta con amplificador;Si|No;true
10005204;Cuenta con sirena;CA-10000011;Indica si tu producto cuenta con sirena;Si|No;true
10005204;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001476;Inalámbrico;CL-A88800111;¿El producto es Inalámbrico?;Si|No;true
10001476;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005747;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;false
10005747;Cuenta con base de ipod;CA-10000016;Indica si tu producto cuenta con base de ipod;Si|No;false
10005747;Tipo de entrada;CA-10000013;Seleccione de la lista;Coaxial|AV|VGA|HDMI|SD|AUX|AV1|DC|Mic|USB|RCA;true
10001468;Cuenta con antena;CA-10000003;Indica si tu producto cuenta con antena;Si|No;false
10001468;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005809;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;false
10005809;Color de luz;CL-A99900146;Seleccione de la lista;Fría|Cálida|Cálida, día y fría|Multicolor|Cálida y Fría|Día|Otra|Sin Información;true
10005809;Tipo de luz;CA-10000017;Seleccione de la lista;LED|Fría|Neutra|Incandescente|Cálida;true
10001472;Tipo de conexión/entrada de audio visual;CA-10000005;Seleccione de la lista;Combinación|Conexión de la consola de juegos|Conexión satélital|Conexión review|Conexión del escritorio del mezclador de audio|Conexión de DVD|Conexión de conmutador de altavoz|Conexión de la videocámara|Conexión del grabador video cassette;true
10001472;Conectividad;A2351545;Seleccionar de la lista;HDMI|Apple CarPlay|Cableado digital|3G|Infrarrojo|Bluetooth|WIFI|Android auto|UHF digital|Analógico UHF|USB|Cualquier dispositivo|Cableado|4G LTE|4G;true
10001479;Tipo de salida;CA-10000009;Seleccione de la lista;RCA|Audio|VGA|Audio BTL|Video|Mic|Otra;false
10001479;Conectividad;A2351545;Seleccionar de la lista;HDMI|Apple CarPlay|Cableado digital|3G|Infrarrojo|Bluetooth|WIFI|Android auto|UHF digital|Analógico UHF|USB|Cualquier dispositivo|Cableado|4G LTE|4G;true
10001470;Cuenta con iluminación interna;CA-10000165;Indica si tu producto cuenta con iluminación interna;Si|No;false
10005735;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;false
10005735;Tipo de entrada;CA-10000013;Seleccione de la lista;Coaxial|AV|VGA|HDMI|SD|AUX|AV1|DC|Mic|USB|RCA;true
10005735;Tipo de salida;CA-10000009;Seleccione de la lista;RCA|Audio|VGA|Audio BTL|Video|Mic|Otra;true
10005735;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001429;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;true
10001429;Cuenta con ecualizador;A2152819;Indica si tu producto cuenta con ecualizador;Si|No;false
10001429;Frecuencia radial;A2689455;Seleccione de la lista;FM|AM/FM|AM;false
10001429;Tipo de entrada;CA-10000013;Seleccione de la lista;Coaxial|AV|VGA|HDMI|SD|AUX|AV1|DC|Mic|USB|RCA;false
10001429;Tipo de salida;CA-10000009;Seleccione de la lista;RCA|Audio|VGA|Audio BTL|Video|Mic|Otra;false
10001432;Cuenta con micrófono;A2689457;Indica si tu producto cuenta con micrófono;Si|No;false
10001432;Cuenta con puertos USB;A2734569;Indica si tu producto cuenta con puertos usb;Si|No;true
10001432;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001433;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;true
10001433;Formato de reproducción;A2689273;Seleccione de la lista;DVD|AAC|FLAC|FLV|AVI|mp4|mp3|Blue-ray|wma|MKV;true
10001443;Cuenta con puertos USB;A2734569;Indica si tu producto cuenta con puertos usb;Si|No;false
10001443;Cuenta con iluminación interna;CA-10000165;Indica si tu producto cuenta con iluminación interna;Si|No;false
10001448;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001440;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;false
10001440;Formato de reproducción;A2689273;Seleccione de la lista;DVD|AAC|FLAC|FLV|AVI|mp4|mp3|Blue-ray|wma|MKV;true
10001440;Frecuencia radial;A2689455;Seleccione de la lista;FM|AM/FM|AM;false
10001440;Cuenta con parlantes integrados;CA-10000018;Indica si tu producto cuenta con parlantes integrados;Si|No;false
10001440;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001440;Cuenta con puertos USB;A2734569;Indica si tu producto cuenta con puertos usb;Si|No;false
10001441;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;false
10001441;Tipo de salida;CA-10000009;Seleccione de la lista;RCA|Audio|VGA|Audio BTL|Video|Mic|Otra;false
10001441;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10001441;Cuenta con puertos USB;A2734569;Indica si tu producto cuenta con puertos usb;Si|No;true
10001434;Cuenta con control remoto;CL-A99900168;Indica si tu producto cuenta con control remoto;Si|No;true
10001437;Frecuencia radial;A2689455;Seleccione de la lista;FM|AM/FM|AM;false
10001437;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
